R,AB,H,2B,3B,HR,BB,SO,SB,CS
779,5548,1415,299,32,225,526,1318.0,35.0,26.0
431,3507,922,150,21,39,343,379.0,119.0,37.0
723,5549,1435,282,24,177,502,1151.0,78.0,21.0
652,3955,1048,216,25,161,520,897.0,46.0,33.0
750,5606,1471,293,33,182,546,1216.0,81.0,26.0
515,5193,1201,181,30,92,486,724.0,43.0,41.0
442,3727,820,114,30,6,265,430.0,,
624,5571,1398,249,53,126,448,813.0,67.0,72.0
651,5484,1386,269,27,142,518,1113.0,190.0,67.0
617,5432,1315,198,24,116,585,899.0,103.0,50.0
621,5373,1350,220,46,84,465,713.0,23.0,35.0
755,5495,1364,319,21,257,471,1164.0,58.0,20.0
820,5578,1439,312,35,224,589,1155.0,119.0,28.0
816,4860,1423,199,81,26,421,269.0,274.0,
855,5588,1552,329,21,184,636,1186.0,87.0,34.0
658,5344,1405,220,44,60,532,500.0,61.0,55.0
541,3820,837,124,59,17,279,529.0,,
724,5514,1497,215,28,121,563,746.0,81.0,48.0
747,4903,1326,277,35,161,519,946.0,190.0,68.0
740,5614,1400,210,28,148,617,953.0,100.0,39.0
775,5468,1417,282,40,171,573,1197.0,112.0,44.0
572,5286,1395,199,39,56,366,494.0,41.0,
500,4639,1133,166,68,12,271,541.0,101.0,
708,5440,1369,238,33,129,593,957.0,118.0,55.0
571,5480,1377,196,61,108,345,977.0,144.0,61.0
656,5115,1310,183,89,21,479,492.0,248.0,
720,5143,1376,189,86,19,530,,270.0,
275,2057,528,84,16,63,161,543.0,42.0,9.0
555,5440,1319,228,28,96,432,848.0,95.0,69.0
690,5767,1573,281,36,106,379,938.0,59.0,55.0
811,5604,1504,305,27,178,590,1202.0,72.0,41.0
758,5500,1305,254,28,239,588,1581.0,115.0,47.0
779,5518,1465,234,29,175,634,806.0,82.0,45.0
853,5651,1566,363,29,178,581,1308.0,123.0,19.0
642,5459,1361,273,18,147,545,1062.0,66.0,48.0
710,5392,1378,270,32,136,636,899.0,137.0,58.0
756,5670,1540,266,42,172,404,974.0,106.0,37.0
702,4490,1057,181,51,24,475,540.0,305.0,
671,5453,1472,295,49,95,526,928.0,122.0,44.0
743,5415,1543,255,90,66,457,437.0,30.0,
673,5632,1530,190,37,111,520,791.0,74.0,45.0
896,5649,1535,274,32,225,653,913.0,106.0,50.0
692,5406,1293,287,31,159,556,1464.0,117.0,41.0
840,5643,1505,303,23,215,645,1133.0,100.0,27.0
545,5081,1204,183,72,16,436,634.0,127.0,89.0
675,4654,1248,170,50,14,411,379.0,265.0,
719,5494,1433,231,25,148,560,945.0,90.0,51.0
638,5335,1395,189,46,121,463,725.0,22.0,36.0
776,5557,1442,300,39,202,466,1240.0,158.0,39.0
631,5450,1307,191,29,158,512,947.0,55.0,45.0
703,5538,1396,215,33,150,516,1190.0,124.0,40.0
706,5351,1303,261,22,198,478,1341.0,89.0,22.0
633,5497,1349,247,26,147,452,1133.0,112.0,26.0
351,1248,384,51,34,6,49,19.0,62.0,24.0
908,5658,1566,289,46,216,588,1045.0,137.0,39.0
705,5347,1494,263,44,101,375,630.0,59.0,
668,5456,1419,209,48,113,577,992.0,198.0,91.0
717,5570,1467,303,47,152,531,1006.0,76.0,38.0
867,5416,1693,291,94,98,473,381.0,132.0,73.0
673,5604,1418,297,35,133,456,1115.0,102.0,45.0
466,4091,1016,107,72,15,371,285.0,200.0,
263,1935,472,82,5,60,191,537.0,51.0,14.0
803,5462,1434,297,36,199,642,1229.0,194.0,61.0
829,5628,1531,279,25,161,617,953.0,126.0,72.0
626,5506,1372,259,46,93,537,934.0,88.0,38.0
762,5686,1571,256,24,192,527,974.0,53.0,39.0
757,5130,1335,218,101,54,585,617.0,214.0,
